Id	AVTRRT__Contact_Candidate__c	AVTRRT__Job__c	AVTRRT__Job_Title__c	AVTRRT__Stage__c
a0Db000000022CqEAI	003b0000008ZJ96AAG	NULL	Agile BI Project Manager	Closed - Won
a0Db000000027lAEAQ	003b0000008ZsnmAAC	NULL	Senior Powercenter with Teradata skills	Submitted to Account Manager
a0Db00000002WcHEAU	003b000000Ad7gDAAR	NULL	SAS FM specialist	Interviewing
a0Db00000003wg8EAA	003b000000DApbeAAD	NULL	BI Solution Architect	New Application
a0Db00000004EXhEAM	003b000000AdWHvAAN	NULL	Teradata ETL developer	Submitted to Account Manager
a0Db0000002z8B9EAI	003b000000DCBPxAAP	NULL	IT lead	Submitted to Account Manager
a0Db0000003pHJOEA2	003b000000F0EO9AAN	NULL	Teradata ETL developer	Reapplied By Candidate
a0Db0000003prksEAA	003b000000AbXA9AAN	NULL	Senior Datastage Developer	Closed - Won
a0Db0000003prlCEAQ	003b0000003xtf9AAA	NULL	Senior Datastage Developer	Closed - Won
a0Db0000003prlREAQ	003b000000DCqIAAA1	NULL	Senior Datastage Developer	Closed - Won
a0Db00000041MGFEA2	003b000000FzPXeAAN	NULL	Front End Module Designer	Submitted to Account Manager
a0Db00000041spmEAA	003b000000HJEWuAAP	NULL	Front End Module Designer	Submitted to Account Manager
a0Db00000041vb7EAA	003b000000HJZzmAAH	NULL	Senior Business Objects Consultant	New Application
a0Db000000420yzEAA	003b000000AdF1EAAV	NULL	Business Intelligence Tester	Interviewing
a0Db000000420z4EAA	003b000000HJxV4AAL	NULL	Business Intelligence Tester	Submitted to Account Manager
a0Db00000042wayEAA	003b000000F212GAAR	NULL	Test Manager	Submitted to Account Manager
a0Db00000042wb3EAA	003b000000DCO1OAAX	NULL	Test Manager	Submitted to Account Manager
a0Db00000042wbDEAQ	003b0000008cP4jAAE	NULL	Test Manager	Submitted to Account Manager
a0Db00000042wbIEAQ	003b0000008ZxYqAAK	NULL	Senior Datastage consultants x2	Submitted to Account Manager
a0Db00000042wbNEAQ	003b0000003yBs3AAE	NULL	Senior Datastage consultants x2	Submitted to Account Manager
a0Db00000042wbSEAQ	003b000000FwRkWAAV	NULL	Senior Datastage consultants x2	Submitted to Account Manager
a0Db00000042wbXEAQ	003b0000003xttwAAA	NULL	Senior Datastage consultants x2	Submitted to Account Manager
a0Db00000042wbcEAA	003b0000008aLy6AAE	NULL	Senior Datastage consultants x2	Submitted to Account Manager
a0Db00000042wbhEAA	003b00000062eyxAAA	NULL	Senior Datastage consultants x2	Submitted to Account Manager
a0Db00000042wbrEAA	003b000000AdWHvAAN	NULL	Teradata developer x2	Submitted to Account Manager
a0Db00000042wbwEAA	003b000000F0EO9AAN	NULL	Teradata developer x2	Submitted to Account Manager
a0Db00000042wc1EAA	003b0000008ZivQAAS	NULL	Teradata developer x2	Submitted to Account Manager
a0Db00000042wcGEAQ	003b000000FwVA1AAN	NULL	Teradata developer x2	Submitted to Account Manager
a0Db00000042wcfEAA	003b000000DBwFpAAL	NULL	Configuration Manager	Interviewing
a0Db00000042wnVEAQ	003b000000FwI17AAF	NULL	IT lead	Interviewing
a0Db00000042woCEAQ	003b0000008aLy6AAE	NULL	BI Project Leader / ETL design lead	Submitted to Account Manager
a0Db00000042woHEAQ	003b0000008aLeHAAU	NULL	BI Project Leader / ETL design lead	Submitted to Account Manager
a0Db00000042wobEAA	003b0000003xtf9AAA	NULL	Senior Datastage Developer	Submitted to Account Manager
a0Db00000042wogEAA	003b0000003zG55AAE	NULL	Senior Datastage Developer	Interviewing
a0Db00000042wolEAA	003b0000008ZxYqAAK	NULL	Senior Datastage Developer	Interviewing
a0Db00000042woqEAA	003b0000003yVP6AAM	NULL	Senior Datastage Developer	Submitted to Account Manager
a0Db00000042wovEAA	003b0000003zNunAAE	NULL	Senior Datastage Developer	Submitted to Account Manager
a0Db00000042wp5EAA	003b000000AdF0LAAV	NULL	BI Business Analyst	Submitted to Account Manager
a0Db00000042wpAEAQ	003b0000008bNEBAA2	NULL	BI Business Analyst	Submitted to Account Manager
a0Db00000042wpKEAQ	003b000000AdFU0AAN	NULL	BI Business Analyst	Submitted to Account Manager
a0Db00000042wpPEAQ	003b000000AdGxlAAF	NULL	BI Business Analyst	Submitted to Account Manager
a0Db00000042wq9EAA	003b000000F2EubAAF	NULL	BI Roll-out manager	Submitted to Account Manager
a0Db00000042wqIEAQ	003b000000IbS0HAAV	NULL	IT lead	Submitted to Account Manager
a0Db00000042wqNEAQ	003b000000F2MbmAAF	NULL	IT lead	Submitted to Account Manager
a0Db00000042wqOEAQ	003b00000062mbwAAA	NULL	IT lead	Submitted to Account Manager
a0Db00000042wqmEAA	003b000000F24VJAAZ	NULL	BI Build Manager	Interviewing
a0Db00000042wqwEAA	003b000000AdN2jAAF	NULL	BI Roll-out manager	Interviewing
a0Db00000042wr6EAA	003b000000FyNJmAAN	NULL	BI Roll-out manager	Interviewing
a0Db00000042wrBEAQ	003b000000F29kJAAR	NULL	BI Roll-out manager	Interviewing
a0Db00000042wrfEAA	003b0000005rgdhAAA	NULL	BI Solution Architect	Interviewing
a0Db00000042wrpEAA	003b000000F2F3OAAV	NULL	BI Solution Architect	Submitted to Account Manager
a0Db00000042wruEAA	003b000000F05bfAAB	NULL	Business Intelligence Tester	Submitted to Account Manager
a0Db000000430c0EAA	003b000000IcYImAAN	NULL	BI Business Test Analyst	New Application
a0Db000000430yDEAQ	003b000000IcamDAAR	NULL	Front End Module Designer	New Application
a0Db00000043BFGEA2	003b000000K7JoSAAV	NULL	BI Solution Architect	New Application
a0Db0000006h3jkEAA	003b000000HJZzmAAH	NULL	Business Intelligence Tester	Interviewing
a0Db0000006h56zEAA	003b000000K7MXyAAN	NULL	Business Intelligence Tester	Closed - Won
a0Db0000007U9jsEAC	003b000000LDMztAAH	NULL	Senior Datastage Developer	Submitted to Account Manager
a0Db00000093am0EAA	003b000000M1u6XAAR	NULL	BI Build Manager	New Application
a0Db0000009PfvIEAS	003b000000AbVwPAAV	NULL	Senior Datastage Developer	Submitted to Account Manager
a0Db0000009TTBhEAO	003b000000MucPTAAZ	NULL	BI Roll-out manager	Reapplied By Candidate
a0Db000000AeHkmEAF	003b000000NgyymAAB	NULL	BI Solution Architect	New Application
a0Db000000AeHnuEAF	003b000000M3SNaAAN	NULL	Senior Datastage Developer	New Application
a0Db000000AeHrSEAV	003b000000Ngz1HAAR	NULL	BI Business Analyst	New Application
a0Db000000AeHx8EAF	003b000000NgzEfAAJ	NULL	Front End Module Designer	New Application
a0Db000000AeHzdEAF	003b000000NgzQRAAZ	NULL	Senior Datastage Developer	New Application
a0Db000000AeHzeEAF	003b000000NgzQRAAZ	NULL	Senior Datastage consultants x2	New Application
a0Db000000AeI1BEAV	003b0000008cP32AAE	NULL	Senior Datastage Developer	New Application
a0Db000000AeI4OEAV	003b000000NgzoVAAR	NULL	Senior Business Objects Consultant	New Application
a0Db000000AeI4PEAV	003b000000NgzoVAAR	NULL	BI Roll-out manager	New Application
a0Db000000BDWIhEAP	003b000000P0zrdAAB	NULL	BI Program Manager	New Application
a0Db000000C6goKEAR	003b000000QAof1AAD	NULL	Data Analyst/Data Architect	New Application
a0Db000000CEnD6EAL	003b000000QBTfZAAX	NULL	Microsoft BI developers x2	Closed - Won
a0Db000000CEnDZEA1	003b000000QBTptAAH	NULL	Microsoft BI developers x2	Interviewing
a0Db000000CFOeLEAX	003b000000AdDmvAAF	NULL	Lead Test Analyst Datawarehouse	Interviewing
a0Db000000CFOeQEAX	003b000000QARbOAAX	NULL	Lead Test Analyst Datawarehouse	Submitted to Account Manager
a0Db000000CFOeVEAX	003b000000QD2glAAD	NULL	Lead Test Analyst Datawarehouse	Interviewing
a0Db000000CT9pbEAD	003b0000007NkuaAAC	NULL	Senior Informatica Powercenter Consultant	Submitted to Account Manager
a0Db000000CT9plEAD	003b0000007NHp3AAG	NULL	Senior Informatica Powercenter Consultant	Interviewing
a0Db000000CT9pqEAD	NULL	NULL	Senior Informatica Powercenter Consultant	Interviewing
a0Db000000D7m0qEAB	003b000000SXwCrAAL	NULL	Senior Datastage Developer	New Application
a0Db000000FnCn6EAF	003b000000WU6LrAAL	NULL	BI Functional Analyst	Reapplied By Candidate
a0Db000000GLXBUEA5	003b000000Uxs4NAAR	NULL	Senior Data Modeller	Interviewing
a0Db000000GLXBjEAP	003b0000007NkyNAAS	NULL	Senior Data Modeller	Interviewing
a0Db000000GLXDQEA5	003b000000WU5Z4AAL	NULL	Data Modeler	Submitted to Account Manager
a0Db000000GLXFJEA5	003b0000008cGzwAAE	NULL	Data Modeler	Interviewing
a0Db000000GLXH3EAP	NULL	NULL	BI Functional Analyst	Submitted to Account Manager
a0Db000000GLXHIEA5	003b000000WU9NhAAL	NULL	BI Functional Analyst	Submitted to Account Manager
a0Db000000GLXHvEAP	003b000000SX08NAAT	NULL	BI Functional Analyst	Submitted to Account Manager
a0Db000000GcC1mEAF	NULL	a0Fb0000006I3iyEAC	Senior Datastage Developer	Closed - Won
a0Db000000HhFSCEA3	003b000000Uxs4NAAR	NULL	Senior Data Modeller	Interviewing
a0Db000000HhFTDEA3	003b0000007NkyNAAS	NULL	Senior Data Modeller	Interviewing
a0Db000000L1kMKEAZ	003b0000003zG55AAE	NULL	Senior Datastage Developer	Interviewing
a0Db000000L1kMPEAZ	003b000000brgBfAAI	NULL	Senior Datastage Developer	Submitted to Account Manager
a0Db000000L1kMoEAJ	003b0000008ZxYqAAK	NULL	Senior Datastage Developer	Submitted to Account Manager
a0Db000000L1kMtEAJ	003b0000008aLeHAAU	NULL	Senior Datastage Developer	Interviewing
a0Db000000L3zcTEAR	003b000000F05bfAAB	NULL	Test Manager BI	Submitted to Account Manager
a0Db000000L6K2FEAV	003b000000AdDmvAAF	NULL	Test Manager BI	Submitted to Account Manager
a0Db000000LHanMEAT	003b000000AdDmvAAF	NULL	Lead Datawarehouse Tester	Submitted to Account Manager
a0Db000000LlSgZEAV	003b0000003yBs3AAE	NULL	Senior Datastage Developer	Interviewing
a0Db000000MD0uhEAD	003b000000ZxO4PAAV	NULL	Senior BODS developer	Submitted to Account Manager
a0Db000000MD1SAEA1	003b000000IcbpVAAR	NULL	Senior BODS developer	Submitted to Account Manager
a0Db000000MLkxiEAD	003b000000dPZ9RAAW	NULL	Senior OBIEE consultant	Interviewing
a0Db000000MD1dSEAT	003b000000LklR1AAJ	NULL	SAS IMAP	Interviewing
a0Db000000N3TWpEAN	003b000000M2ytAAAR	NULL	Senior BI Project Manager	Submitted to Account Manager
a0Db000000N3TYREA3	003b0000008a3uqAAA	NULL	Senior BI Project Manager	Submitted to Account Manager
a0Db000000N3TYbEAN	003b0000003yBs3AAE	NULL	Senior Datastage Developer	Interviewing
a0Db000000N3TYgEAN	003b000000eoxwDAAQ	NULL	Senior Datastage Developer	Submitted to Account Manager
a0Db000000N3TYlEAN	003b0000003zG55AAE	NULL	Senior Datastage Developer	Submitted to Account Manager
a0Db000000N3TYqEAN	003b0000008ZxYqAAK	NULL	Senior Datastage Developer	Submitted to Account Manager
a0Db000000N3TZ5EAN	003b000000fNGQlAAO	NULL	Senior Cognos Developer	Submitted to Account Manager
a0Db000000N3TZAEA3	003b000000AbtlNAAR	NULL	Senior Cognos Developer	Submitted to Account Manager
a0Db000000N3TZFEA3	003b0000008c2J3AAI	NULL	Senior Cognos Developer	Submitted to Account Manager
a0Db000000N3TZKEA3	003b000000fNaeHAAS	NULL	Senior Cognos Developer	Submitted to Account Manager
a0Db000000N3TaDEAV	003b000000aVWALAA4	NULL	Senior BI Project Manager	Submitted to Account Manager
a0Db000000NI0eNEAT	003b000000fqn9BAAQ	NULL	Senior BI Project Manager	New Application
a0Db000000ONpdHEAT	003b000000i935RAAQ	NULL	Datastage Developer	Reapplied By Candidate
a0Db000000ONpdMEAT	003b000000i935RAAQ	NULL	Senior Datastage Developer	New Application
a0Db000000ONpeaEAD	003b000000i935RAAQ	NULL	Datastage Specialist	New Application
a0Db000000OaU69EAF	003b00000062eyxAAA	NULL	Senior Datastage Developer	Interviewing
a0Db000000Ob7VuEAJ	003b000000QBTsGAAX	NULL	Senior Cognos Developer	Submitted to Account Manager
a0Db000000ObjGhEAJ	003b000000injKhAAI	NULL	Senior Cognos Developer	Submitted to Account Manager
a0Db000000OmngMEAR	003b000000cbsAvAAI	NULL	Senior Cognos Developer	Closed - Won
a0Db000000P583XEAR	003b000000kT5ZYAA0	NULL	Senior Datastage Developer	Closed - Won
a0Db000000PW7kSEAT	003b000000jRI1xAAG	NULL	Senior Datastage Developer	New Application
a0Db000000PeoxhEAB	003b000000ktuj3AAA	NULL	Datastage Developer	Reapplied By Candidate
a0Db000000Pep1EEAR	003b000000ktzFDAAY	NULL	IT lead	Reapplied By Candidate
a0Db000000Pep1FEAR	003b000000ktzFDAAY	NULL	Test Manager	Reapplied By Candidate
a0Db000000Pep1GEAR	003b000000ktzFDAAY	NULL	BI Business Test Analyst	Reapplied By Candidate
a0Db000000Pep1HEAR	003b000000ktzFDAAY	NULL	Lead Test Analyst Datawarehouse	Reapplied By Candidate
a0Db000000Pep1IEAR	003b000000ktzFDAAY	NULL	Data Analyst/Data Architect	Reapplied By Candidate
a0Db000000Pep1JEAR	003b000000ktzFDAAY	NULL	Data Modeler	Reapplied By Candidate
a0Db000000Pep1KEAR	003b000000ktzFDAAY	NULL	Data Modeler	Reapplied By Candidate
a0Db000000Pep1LEAR	003b000000ktzFDAAY	NULL	Test Manager BI	Reapplied By Candidate
a0Db000000Pep1MEAR	003b000000ktzFDAAY	NULL	Lead Datawarehouse Tester	Reapplied By Candidate
a0Db000000Pep1NEAR	003b000000ktzFDAAY	NULL	Senior BI Project Manager	Reapplied By Candidate
a0Db000000PtHYdEAN	003b0000008aLeHAAU	NULL	Senior Datastage Developer	Submitted to Account Manager
a0Db000000PywF5EAJ	NULL	a0Fb0000009rEWoEAM	Roll-out Project Manager Insurance	Submitted to Account Manager
a0Db000000RKU1yEAH	NULL	a0Fb0000009sZUQEA2	Advanced  Oracle PL/SQL developer	New Application
a0Db000000RKVt1EAH	NULL	NULL	Web Dev Testing please ignore	New Application
a0Db000000RKVt6EAH	NULL	NULL	Web Dev Testing please ignore	New Application
a0Db000000Vik1wEAB	NULL	a0Fb000000EFSFPEA5	Datastage Developer	Submitted to Account Manager
a0Db000000XBh84EAD	003b000000im8KFAAY	NULL	Senior Informatica Powercenter Developer	New Application
a0Db000000XBhHiEAL	003b000000DAQeZAAX	NULL	Microsoft BI developers x2	New Application
a0Db000000XBhWfEAL	003b000001D1b0XAAR	NULL	URGENT - SAP BI/BW specialist	New Application
a0Db000000XBhWkEAL	003b000001D1b0XAAR	NULL	Business Objects Developer	New Application
a0Db000000XBhWpEAL	003b000001D1b0XAAR	NULL	Senior Data Modeller	New Application
a0Db000000XBhWuEAL	003b000001D1b0XAAR	NULL	BI Functional Analyst	New Application
a0Db000000XBhWzEAL	003b000001D1b0XAAR	NULL	Data Modeler	New Application
a0Db000000XBhX9EAL	003b000001D1b0XAAR	NULL	Microsoft BI developers x2	New Application
a0Db000000XBhXEEA1	003b000001D1b0XAAR	NULL	BI Business Analyst	New Application
a0Db000000XBxDrEAL	003b000000aRfk8AAC	NULL	Platform Integration Specialist	New Application
a0Db000000Z4CzKEAV	NULL	a0Fb000000KObUjEAL	Data Modeler	Submitted to Account Manager
a0Db000000buE2VEAU	NULL	a0Fb000000QqJmWEAV	Qlikview expert	Interviewing
a0Db000000hizJkEAI	NULL	a0Fb0000009qKWQEA2	Informatica Powercenter Developer	New Application
a0Db000000hizJlEAI	NULL	a0Fb000000CcfzkEAB	Senior Data Mapper	New Application
a0Db000000hizJmEAI	NULL	a0Fb000000HQU0SEAX	Informatica Technical consultant	New Application
a0Db000000hizJnEAI	NULL	a0Fb000000HQfBKEA1	Informatica Powercenter Developer	New Application
a0Db000000hizJoEAI	NULL	a0Fb000000HQffDEAT	Informatica Technical consultant	New Application
a0Db000000hizJpEAI	NULL	a0Fb000000J0IeLEAV	Powercenter Consultant	New Application
a0Db000000hizJqEAI	NULL	a0Fb000000QqzjMEAR	Informatica Powercenter Developer	New Application
a0Db000000hizJrEAI	NULL	a0Fb000000Tl93DEAR	URGENT - Senior Informatica Powercenter Developer	New Application
a0Db000000hizJsEAI	NULL	a0Fb000000VXYMbEAP	Senior Powercenter	New Application
